Tweets,ID,Date,Source,Likes,RTs
RT @WhiteHouse: President @realDonaldTrump is halting funding of the World Health Organization while a review is conducted to assess WHO's…,https://twitter.com/realDonaldTrump/status/1250203509296959488,2020-04-14 23:25:18,Twitter for iPhone,0,4784
https://t.co/KRxBA0OjpX,https://twitter.com/realDonaldTrump/status/1250203462555570176,2020-04-14 23:25:07,Twitter for iPhone,9979,2628
White House news conference today at 5:45 P.M. Eastern. Thank you!,https://twitter.com/realDonaldTrump/status/1250172326920040449,2020-04-14 21:21:24,Twitter for iPhone,58702,10804
My Administration is committed to protecting the Homeland from the scourge of narco-terrorists and traffickers seek… https://t.co/cnAPqQk19I,https://twitter.com/realDonaldTrump/status/1250088893766078470,2020-04-14 15:49:52,Twitter for iPhone,83782,24523
Tell the Democrat Governors that “Mutiny On The Bounty” was one of my all time favorite movies. A good old fashione… https://t.co/AkL2j7upwF,https://twitter.com/realDonaldTrump/status/1250075668282576898,2020-04-14 14:57:19,Twitter for iPhone,119588,30438
"GET RID OF BALLOT HARVESTING, IT IS RAMPANT WITH FRAUD. THE USA MUST HAVE VOTER I.D., THE ONLY WAY TO GET AN HONEST COUNT!",https://twitter.com/realDonaldTrump/status/1250067500190089217,2020-04-14 14:24:51,Twitter for iPhone,201873,51434
"Cuomo’s been calling daily, even hourly, begging for everything, most of which should have been the state’s respons… https://t.co/eel2Fl1w2V",https://twitter.com/realDonaldTrump/status/1250063051182747651,2020-04-14 14:07:11,Twitter for iPhone,142966,29880
The Democrats don’t want to approve more money for our great workers under the incredibly successful “Paycheck” plan. Replenish Account Now!,https://twitter.com/realDonaldTrump/status/1250056263746162688,2020-04-14 13:40:12,Twitter for iPhone,105789,26548
https://t.co/DRVhpMCuAx,https://twitter.com/realDonaldTrump/status/1249888406127153155,2020-04-14 02:33:12,Twitter Media Studio,72520,21473
https://t.co/ImJ7W5MACi,https://twitter.com/realDonaldTrump/status/1249886901320011786,2020-04-14 02:27:13,Twitter Media Studio,64269,18493
