Author,Content,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Statuses Count,Author Favourites Count,Author Friends Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude
discrete,string,time,discrete,discrete,continuous,continuous,discrete,discrete,string,continuous,continuous,continuous,continuous,continuous,discrete,continuous,continuous
class,meta title=True,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta
@DSakkwato,@Rufson4 @MBuhari @BashirAhmaad @GarShehu @Waspapping_ @HBMayana_ @Engineer_Musty @daily_nigerian @hassanshehu42 @Sarki_2 Amin ya Allah,2020-04-01 14:56:42,in,,0.0,0.0,@Rufson4,Dan Sakkwato,"Dan Sakkwato.

Student Nurse. 

I make a calligraphy of names and Ayats in Arabic and English

Alhamdulillah.",2078.0,2745.0,989.0,2679.0,0.0,False,,
@white57525236,@TVCconnect @MTV @NGRPresident @MBuhari @DONJAZZY @YemiKosibah @followlasg @ShinaPeller @CNN @official2baba https://t.co/19YsHQItXa,2020-04-01 14:56:42,und,,0.0,0.0,@white57525236,white,My life is better than my daydreams,27.0,0.0,42.0,5.0,0.0,False,,
@white57525236,@NGRPresident @MBuhari @ProfOsinbajo @tundefashola @ShinaPeller @DONJAZZY @CNN @TVCconnect @followlasg @official2baba @MTV @channelstv https://t.co/t74CM34Wqa,2020-04-01 14:56:39,und,,0.0,0.0,@NGRPresident,white,My life is better than my daydreams,27.0,0.0,42.0,5.0,0.0,False,,
@UrbanKingRarry,"@MBuhari It has a cure sir, you stop schools from working....Nigerians can actually develop the vaccine,a lot of research laboratories everywhere but not properly staffed and organized....the problem is in the organization of things there are ways we can change that and we are all set",2020-04-01 14:56:36,en,,0.0,0.0,@MBuhari,Rarry,Rarry music,730.0,1235.0,890.0,138.0,0.0,False,,
@Mathias83729897,@JeffOkoroafor @MBuhari What do you expect in a failed state?Oga you are on your on.,2020-04-01 14:56:35,en,,0.0,0.0,@JeffOkoroafor,Mathias Stephenson,"All humans are equal before God, and came from the same origin",384.0,774.0,65.0,13.0,0.0,False,,
@udysweet,"@BashirAhmaad @FMHDSD @Sadiya_farouq @MBuhari @HUPcct Pls you people should come to Ayodele Street, ikate. Mr Thomas is there, this 20k will do something for him especially in this lockdown since LUTH hasn't been very regular with his pension money.
That is my father incase you're asking",2020-04-01 14:56:35,en,,0.0,0.0,@BashirAhmaad,Udy🇳🇬,"Simple friendly lady😘
Beaded jeweler&Trainer, 
Palm Oil seller @GraciousOil 
Fabric Seller(fabricsbyudy)
https://t.co/eYJ1IZqcnY",40875.0,21941.0,5111.0,5512.0,14.0,False,,
@chidubemisiani,"@BashirAhmaad @FMHDSD @Sadiya_farouq @MBuhari @HUPcct I pray and I will work harder to be more Richer than Bill gate in the nearest future....
Trust me I will use biotechnology to  hunt everyone that has looted Nigerians money...
Even the mosquito in compound won't be speared....

Am talking to looters only.

Save this tweet...",2020-04-01 14:56:34,en,,0.0,0.0,@BashirAhmaad,Chidubem Isiani,"inventory officer .
mechatronics engineering in view",306.0,384.0,872.0,96.0,0.0,False,,
@feyibell,@renoomokri @akliveen @MBuhari All the donation no make sense because it will not get to the people ....useless donations,2020-04-01 14:56:28,en,,0.0,0.0,@renoomokri,Bello Gbolahan,all na baba God ...still pushing for the best,7657.0,5115.0,1110.0,616.0,0.0,False,,
@airnicol31,"@SympLySimi @MBuhari Just ordinary light, like normal light 🚶🏿‍♂️",2020-04-01 14:56:26,en,NG,0.0,0.0,@SympLySimi,Zaza🎩🌂💨,"God over everything ... Football lover @Chelseafc, Fashionista👑👘👗👔👚, Entrepreneur 🇳🇬 🇨🇦🇱🇷, Traveller🌏🥰",4028.0,5515.0,2066.0,636.0,4.0,False,,
