timestamp,tweet_text,username,all_hashtags,followers_count
2020-03-26 19:53:19,b'The latest KeithJustKeith News! https://t.co/Ag3LiNBC8i Thanks to @LifeAnchored #education #covid19',b'JustKeithByers',"['education', 'covid19']",1329
2020-03-26 19:53:18,"b""Charities that help millions of Canadians warn they won't survive #covid19 #covidcanada https://t.co/FK7eKx2beC""",b'Vic_CasMar',"['covid19', 'covidcanada']",769
2020-03-26 19:53:17,b'Translation of the lyrics: \xf0\x9f\x8e\xb6\xf0\x9f\x8e\xbchttps://t.co/HWgeLEegII \xf0\x9f\x8e\xbc #COVID19 #Spain  https://t.co/3LiWFnnuxA',b'LowBatteryLives',"['COVID19', 'Spain']",163
2020-03-26 19:53:17,b'Far too broad. #BCPoli #COVID19 #FlattenTheCurve https://t.co/fhxTh9sqsQ',b'HmmBee',"['BCPoli', 'COVID19', 'FlattenTheCurve']",292
2020-03-26 19:53:17,"b'What the New Patients, Inc. team is doing for clients, all of dentistry, and trying to do for the country.  #covid19 #inthistogether https://t.co/epZyGfN2Si'",b'npimarketing',"['covid19', 'inthistogether']",83
2020-03-26 19:53:17,"b'The #RainyDay Fund helps our state government continue to provide essential services, even during uncertain economic times. But is it enough? Can we access it? Learn more w/ our sr. analyst, Kurt Wise, and comms. director, @reginauldwill: https://t.co/QfhynY8mv7 #mapoli #COVID19'",b'MassBudget',"['RainyDay', 'mapoli', 'COVID19']",4423
2020-03-26 19:53:16,"b'Exclusive: Estimates Show 60,000 Coronavirus Cases In #Iran, 3,000 Deaths  https://t.co/1mvEBXL7RX #COVID19'",b'NickSotoudeh',"['Iran', 'COVID19']",4281
2020-03-26 19:53:15,b'The TL when we get free from di lockdown... free us up #COVID19 https://t.co/zjE73zTKrH',b'AmstrDamz',['COVID19'],2878
2020-03-26 19:53:15,b'God I hate #Republican #math. The answer to the story problem is always \xe2\x80\x9cso this is no big deal.\xe2\x80\x9d #COVID\xe3\x83\xbc19 #COVID19 @tedlieu https://t.co/IpF0KZK4J2',b'Ringmaster2015',"['Republican', 'math', 'COVIDー19', 'COVID19']",60
2020-03-26 19:53:14,b'#COVID19 in Iowa update below. Hoping to have a long update ready to share in next day or two. https://t.co/hkPjtysWMm',b'ZachWahls',['COVID19'],48430
2020-03-26 19:53:13,b'@jacqwest Wait to see the waste after the #covid19 peaks Jacquelyn',b'centeringpendu1',['covid19'],100
2020-03-26 19:53:13,b'Day 10: IL 2538 cases / 26 deaths Local: 8 cases #covid19 #coviddiaries  \xe2\x80\x9cThis virus doesn\xe2\x80\x99t care that you\xe2\x80\x99re bored...I\xe2\x80\x99m not telling you this to scare you. I\xe2\x80\x99m telling you this to save your life!\xe2\x80\x9d - @GovPritzker 3/26/20 https://t.co/vkBurrnv9I',b'Jen_Maine',"['covid19', 'coviddiaries']",86
2020-03-26 19:53:12,"b'Optiv\'s white paper ""#COVID19: Overcoming an Abundance of #Cybersecurity Caution"" helps make sense of the new challenges remote work entails. Let\xe2\x80\x99s re-evaluate your organization\xe2\x80\x99s #security safeguards and how to adapt w/out introducing new vulnerabilities. https://t.co/cmn31JMNdO'",b'AdamMDell',"['COVID19', 'Cybersecurity', 'security']",110
2020-03-26 19:53:11,"b'@theleftchapter . @topoli  #onpoli #cdnpoli @JustinTrudeau  #bcpoli #abpoli #skpoli #mbpoli #onpoli #qbpoli #peipoli #nbpoli #nspoli #nflpoli #cdnpoli #canpoli #onpoli #Ontario #CBC #COVID19 I believe he also said, for Ontario residents not to take advantage - those who can pay rent - pay rent'",b'Findingourself',"['onpoli', 'cdnpoli', 'bcpoli', 'abpoli', 'skpoli', 'mbpoli', 'onpoli', 'qbpoli', 'peipoli', 'nbpoli', 'nspoli', 'nflpoli', 'cdnpoli', 'canpoli', 'onpoli', 'Ontario', 'CBC', 'COVID19']",819
2020-03-26 19:53:10,"b""Is that your way of saying we shouldn't worry about #coronavirus @RudyGiuliani?  We're dealing with a pandemic and you're trying to downplay the seriousness... What is wrong with you? Are you missing the spotlight and wanting some attention? #COVIDIDIOT #COVID19 #CoronaVillains https://t.co/jP0UKRAcOM""",b'stevewh67',"['coronavirus', 'COVIDIDIOT', 'COVID19', 'CoronaVillains']",4887
2020-03-26 19:53:10,b'I\xe2\x80\x99m struggling with the concept of bailing out the cruise ship industry.  This coming from someone that worked on one 15 years ago.  There were always quarantined people.  #nobailout #COVID19',b'JeffGrantSports',"['nobailout', 'COVID19']",3124
2020-03-26 19:53:09,"b'Help slow the spread of #COVID19 and identify at risk cases sooner by self-reporting your symptoms daily, even if you feel well  \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc. Download the app https://t.co/mBBDQq3YfM'",b'Heather_1705',['COVID19'],2115
2020-03-26 19:53:09,"b""@drninashapiro @CNN Heard Dr Oz on @IngrahamAngle &amp; @seanhannity talk about the amazing results from use of #chloroquinine (NO NOT THE AQUARIUM CLEANER) on #COVID19 patients 100 % recovery &amp; in 7 days from critical. @CNN needs also talk about it's great effect on curing ppl. #StopCoronaVirus""",b'VandorpJohn',"['chloroquinine', 'COVID19', 'StopCoronaVirus']",657
2020-03-26 19:53:09,"b'All journalists are now #COVID19 journalists, and reliable news is as important as ever. The @IWMF\xe2\x80\x99s Emergency Fund is a proven, robust resource \xe2\x80\x93 we\xe2\x80\x99re glad to support its new Journalism Relief Fund for those whose work &amp; safety is affected by the virus.https://t.co/vq7Vni1NYQ'",b'craignewmark',['COVID19'],84130
2020-03-26 19:53:09,b'@nickamin20 No. Humor is what humans do to stay sane in dark times. Fire away. :) #COVID19 :',b'ChristineZambr1',['COVID19'],1374
2020-03-26 19:53:08,"b'\xe2\x80\x9cWe may get knocked down, but we will not get knocked out...We will carry the city through this. The sun will shine, and we will get through this together.\xe2\x80\x9d #NYP\xe2\x80\x99s President &amp; CEO Dr. Steven Corwin shares hope with the #NYP family and community as we fight the spread of #COVID19. https://t.co/jbLrfYjLIs'",b'nyphospital',"['NYP', 'NYP', 'COVID19']",43741
2020-03-26 19:53:07,"b'Ben Huynh, REALTOR\xc2\xae Houston TX. @benhuynhrealtor ""Everything You Need to Know About Coronavirus Federal Small Business Stimulus Aid Programs."" https://t.co/3Yg3p8vi7n   #SBA #Covid19 #loans #lender #SmallBusiness https://t.co/1ttGUQxqOQ'",b'benhuynhrealtor',"['SBA', 'Covid19', 'loans', 'lender', 'SmallBusiness']",2871
2020-03-26 19:53:07,"b""@GovTimWalz @mnhealth Jan Malcolm says many variables are included in modeling including social contact, number of ICU beds, how virus spreads among people globally and in the US. Real time local data will enhance model that's being used for decision making. #coronavirusMN #COVID19""",b'HealthInMinn',"['coronavirusMN', 'COVID19']",493
2020-03-26 19:53:07,b'Need some video conferencing / work from home tips? @dknewmedia does a great job of breaking things down in this short video.  #COVID19 #Weareinthistogether #learnsomethingnew  #upyourgame #videoconferencetips https://t.co/2AFQFA2W5p',b'ruby_law',"['COVID19', 'Weareinthistogether', 'learnsomethingnew', 'upyourgame', 'videoconferencetips']",791
2020-03-26 19:53:06,b'monetizemore : ApexmobileMedia Interesting insights on #covid19 shifting consumer behaviour! (via Twitter https://t.co/mBnYImDpLk) https://t.co/6XYMqK94PD',b'Harrison_Kate10',['covid19'],913
2020-03-26 19:53:04,"b""This is happening as the #US cuts aid to #Afghanistan &amp; insists on more sanctions against #Iran. The @WSJ editors thinks this is a good idea. There's no word in the English dictionary worthy of describing them. #coronavirus #Covid19 https://t.co/Ohupusk38v""",b'sanambna',"['US', 'Afghanistan', 'Iran', 'coronavirus', 'Covid19']",6002
2020-03-26 19:53:04,"b'The United States is about to become the country with the most reported #covid19 infections, passing Italy and China. The actual number is likely even higher than this.  https://t.co/hygQm8FBSa'",b'crawlings13',['covid19'],182
2020-03-26 19:53:04,"b'14 new cases of #COVID19 have been confirmed in Nigeria: 2 in FCT, 12 in Lagos  Of the 14, 6 were detected on a vessel, 3 are returning travellers into Nigeria &amp; 1 is close contact of a confirmed case  As at 7:35 pm 26th March, there are   65 confirmed cases  3 discharged 1 death https://t.co/OBc8aVmLkK'",b'swankpharm',['COVID19'],10222
2020-03-26 19:53:04,"b'Business owners were full of hope as they watched Trudeau unveil his big #COVID19 relief plan, but now that they\xe2\x80\x99ve seen it, they think there\xe2\x80\x99s room for improvement. My story: https://t.co/6oQTmFHfoJ'",b'tara_deschamps',['COVID19'],3178
2020-03-26 19:53:04,"b""China 1st created a WhatsApp group with a name #Covid19. He added all d countries in that group &amp; then left d group. What a nice game he played!!! Well now it's duty of remaining members to rename the WhatsApp group as #ChineseVirus19... Credit of virus should go to creater only.""",b'DEE_Manish',"['Covid19', 'ChineseVirus19']",31
