Texto del tweet,Usuario,Fecha,id
@colmedchile @elbeatdeltambor @gonsat Con este gobierno ambivalente y bipolar a resguardarse si no vamos derechito a eeuu,Carmetita,Sat Apr 11 14:46:01 +0000 2020,1248985663791403008
"RT @colmedchile: Conoce el informe elaborado por nuestro Dpto. de DDHH tras visitar el Centro de Detención Preventiva de Puente Alto, en el…",Iguerrerom,Sat Apr 11 14:46:26 +0000 2020,1248985768405630979
"RT @colmedchile: Conoce el informe elaborado por nuestro Dpto. de DDHH tras visitar el Centro de Detención Preventiva de Puente Alto, en el…",gloriafsalazar,Sat Apr 11 14:46:33 +0000 2020,1248985794754285580
"RT @colmedchile: Junto a nuestra Comisión de #MigrantesYSalud, invitamos a todos los migrantes que habitan en Chile a completar esta encues…",Iguerrerom,Sat Apr 11 14:47:45 +0000 2020,1248986096979062790
"RT @colmedchile: Conoce el informe elaborado por nuestro Dpto. de DDHH tras visitar el Centro de Detención Preventiva de Puente Alto, en el…",smillaleo,Sat Apr 11 14:47:47 +0000 2020,1248986108446334982
"RT @colmedchile: Estamos preocupados por la situación en #Magallanes. El Pdte. de nuestro regional #PuntaArenas, Dr. @gonsat, alerta sobre…",RTeran2020,Sat Apr 11 14:49:03 +0000 2020,1248986426047422467
"RT @colmedchile: Conoce el informe elaborado por nuestro Dpto. de DDHH tras visitar el Centro de Detención Preventiva de Puente Alto, en el…",dridelatorre,Sat Apr 11 14:50:55 +0000 2020,1248986896178524160
"RT @colmedchile: Conoce el informe elaborado por nuestro Dpto. de DDHH tras visitar el Centro de Detención Preventiva de Puente Alto, en el…",080Gthooo,Sat Apr 11 14:51:18 +0000 2020,1248986991947120642
"RT @colmedchile: Junto a nuestra Comisión de #MigrantesYSalud, invitamos a todos los migrantes que habitan en Chile a completar esta encues…",MazoyerCath,Sat Apr 11 14:52:13 +0000 2020,1248987221421670406
"RT @colmedchile: Estamos preocupados por la situación en #Magallanes. El Pdte. de nuestro regional #PuntaArenas, Dr. @gonsat, alerta sobre…",karen_haichelis,Sat Apr 11 14:52:15 +0000 2020,1248987231337025536
