Texto del tweet,Usuario,Fecha,id
hablando del rey de roma,christi75367675,Sat Apr 11 22:16:43 +0000 2020,1249099083475636230
"RT @christi75367675: @ShaikIshraque #Casteist_Communal_Media BJP is pulling a huge privacy attack #WarOnCovid https://t.co/8agLhXXVic, This…",ahmad_sayeem,Sat Apr 11 22:17:06 +0000 2020,1249099180506664961
todos los caminos conducen a roma,christi75367675,Sat Apr 11 22:19:26 +0000 2020,1249099768673882118
mmmmmmmm888,christi75367675,Sat Apr 11 22:20:15 +0000 2020,1249099972340940800
uno,christi75367675,Sat Apr 11 22:24:24 +0000 2020,1249101017800560643
me comi una pizza,christi75367675,Sat Apr 11 22:27:44 +0000 2020,1249101856954961920
me comi dos pizzas,christi75367675,Sat Apr 11 22:28:08 +0000 2020,1249101956854898691
me comi tres,christi75367675,Sat Apr 11 22:28:31 +0000 2020,1249102052518588421
cuatro,christi75367675,Sat Apr 11 22:28:36 +0000 2020,1249102074354077696
cinco,christi75367675,Sat Apr 11 22:28:41 +0000 2020,1249102096659406859
seis,christi75367675,Sat Apr 11 22:28:46 +0000 2020,1249102118050357250
siete,christi75367675,Sat Apr 11 22:28:51 +0000 2020,1249102136685686785
ocho,christi75367675,Sat Apr 11 22:28:56 +0000 2020,1249102157829165056
nueve pizzas,christi75367675,Sat Apr 11 22:29:03 +0000 2020,1249102187986206727
10 pizzas,christi75367675,Sat Apr 11 22:29:09 +0000 2020,1249102214259326976
