Tweets,ID,Date,Source,Likes,RTs
White House news conference today at 5:45 P.M. Eastern. Thank you!,https://twitter.com/realDonaldTrump/status/1250172326920040449,2020-04-14 21:21:24,Twitter for iPhone,40039,8522
My Administration is committed to protecting the Homeland from the scourge of narco-terrorists and traffickers seek… https://t.co/cnAPqQk19I,https://twitter.com/realDonaldTrump/status/1250088893766078470,2020-04-14 15:49:52,Twitter for iPhone,79400,23412
Tell the Democrat Governors that “Mutiny On The Bounty” was one of my all time favorite movies. A good old fashione… https://t.co/AkL2j7upwF,https://twitter.com/realDonaldTrump/status/1250075668282576898,2020-04-14 14:57:19,Twitter for iPhone,113891,29198
"GET RID OF BALLOT HARVESTING, IT IS RAMPANT WITH FRAUD. THE USA MUST HAVE VOTER I.D., THE ONLY WAY TO GET AN HONEST COUNT!",https://twitter.com/realDonaldTrump/status/1250067500190089217,2020-04-14 14:24:51,Twitter for iPhone,192183,49201
"Cuomo’s been calling daily, even hourly, begging for everything, most of which should have been the state’s respons… https://t.co/eel2Fl1w2V",https://twitter.com/realDonaldTrump/status/1250063051182747651,2020-04-14 14:07:11,Twitter for iPhone,135743,28562
The Democrats don’t want to approve more money for our great workers under the incredibly successful “Paycheck” plan. Replenish Account Now!,https://twitter.com/realDonaldTrump/status/1250056263746162688,2020-04-14 13:40:12,Twitter for iPhone,101834,25704
https://t.co/DRVhpMCuAx,https://twitter.com/realDonaldTrump/status/1249888406127153155,2020-04-14 02:33:12,Twitter Media Studio,71673,21267
https://t.co/ImJ7W5MACi,https://twitter.com/realDonaldTrump/status/1249886901320011786,2020-04-14 02:27:13,Twitter Media Studio,63597,18352
https://t.co/NOAE5Q6QxH,https://twitter.com/realDonaldTrump/status/1249882105406009345,2020-04-14 02:08:10,Twitter for iPhone,125222,32211
RT @TrumpWarRoom: Media keep asking what the Trump Administration was doing in February to combat the coronavirus after restricting travel…,https://twitter.com/realDonaldTrump/status/1249865186858672130,2020-04-14 01:00:56,Twitter for iPhone,0,19816
