timestamp,tweet_text,username,all_hashtags,followers_count
2020-03-26 13:07:24,b'COVID-19 Outbreak: Emerging Issues for Women and Girls and Gender-Sensitive Recommendations by UN Women and @UnfpaKosovo. Read the full document here: https://t.co/V5QCN877Wb  #COVID\xe3\x83\xbc19 #coronavirus',b'unwomenkosovo',"['COVIDー19', 'coronavirus']",517
2020-03-26 13:07:24,b'The latest El Periodico de Niurkys! https://t.co/SCPXFcSIAt Thanks to @victorjym @zulymael #coronavirus',b'Niurkys',['coronavirus'],2690
2020-03-26 13:07:24,b'Total cases of #coronavirus in #Armenia #Azerbaijan #Kazakhstan #Georgia #Uzbekistan #Kyrgyzstan via \xe2\x81\xa6@EurasiaNet\xe2\x81\xa9 https://t.co/HwAD7WekBQ',b'enifti',"['coronavirus', 'Armenia', 'Azerbaijan', 'Kazakhstan', 'Georgia', 'Uzbekistan', 'Kyrgyzstan']",1810
2020-03-26 13:07:23,b'Self quarantine is useless if you forget to lock the front door and the mentally handicapped neighbor comes in and touches everything \xf0\x9f\xa4\xa6\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f#covid19 #quarantine #selfquarantine #coronavirus',b'gurugabe2',"['covid19', 'quarantine', 'selfquarantine', 'coronavirus']",16
2020-03-26 13:07:23,"b'Number of #coronavirus cases in #PuertoRico climbs to 64, still waiting on results from 365 tests https://t.co/k1ju0zusq3'",b'michaelcdeibert',"['coronavirus', 'PuertoRico']",10869
2020-03-26 13:07:23,b'In times like these I need to watch my spending but the stray cat needs feeding too. He looks hungrier by the day due to people rationing #cat #coronavirus #corona  #stayhome #staysafe https://t.co/JxU2E4nD47',b'nickkaramanlis',"['cat', 'coronavirus', 'corona', 'stayhome', 'staysafe']",68
2020-03-26 13:07:22,b'54% of employed U.S. adults said in a Mar.10-16 survey they would not get paid if they missed work for at least two weeks because of the #coronavirus. 33% of them said it would be difficult for them to keep up with their basic expenses while out of work https://t.co/EuHUVJl5vM https://t.co/kz0yCTXJ7B',b'pewresearch',['coronavirus'],413755
2020-03-26 13:07:22,"b'[Urgent Challenge] The crisis of COVID-19: as an innovation company, we invite you to cooperate with us for this global challenge! Check all the details here:   https://t.co/vp8HFXGs7u  #Covid19 #coronavirus #hypioschallenge #innovation #OpenInnovation #CrowdInnovation'",b'Hypios_CI',"['Covid19', 'coronavirus', 'hypioschallenge', 'innovation', 'OpenInnovation', 'CrowdInnovation']",4807
2020-03-26 13:07:22,"b'@halsey hi, pleas would like to help us in this Difficult ordeal, her in #algeria, we are suffering from #coronavirus , we need help, no work no money for my family ! Gosh'",b'abderahemen',"['algeria', 'coronavirus']",37
2020-03-26 13:07:22,b'#ThursdayThoughts  #coronavirus  #ireland  #CoronavirusLockdown  #staysafe  #selfemployed   Telegraph need to be careful if there columnist are saying the over 70 are going to die. Its there readership. https://t.co/9tcd8kP5aS',b'Meish52',"['ThursdayThoughts', 'coronavirus', 'ireland', 'CoronavirusLockdown', 'staysafe', 'selfemployed']",799
2020-03-26 13:07:21,b'Just imagine if we had a proactive pandemic response and not hoax-paranoid leadership more concerned about their polls than people. #coronavirus #joblessclaims  Initial jobless claims surged to record 3.3M  https://t.co/OpghyMxQv1',b'OutofCntxtClues',"['coronavirus', 'joblessclaims']",1862
2020-03-26 13:07:21,"b'Seven Russian warships shadowed by uk waters \xf0\x9f\xa4\x94 aircrafts intercepted a few weeks ago, 144.5 million population plus a Chinese border with only 840 cases..... biological warfare with Russia and China \xf0\x9f\xa4\x94 #COVID19 #coronavirus'",b'twingojay',"['COVID19', 'coronavirus']",10
2020-03-26 13:07:21,b'Watch: #SaudiArabia\xe2\x80\x99s King Salman is shown giving opening remarks as G20 leaders begin the emergency virtual summit on #coronavirus. Video from the office of French President Emmanuel Macron.   https://t.co/8P9Z8ZgYak https://t.co/E0fwCIxQZw',b'AlArabiya_Eng',"['SaudiArabia', 'coronavirus']",821589
2020-03-26 13:07:20,"b'The \xe2\x80\x9cWu Assassin\xe2\x80\x99s\xe2\x80\x9d, on NETFLIX was is a great show! If you like martial arts, mixed with super powers, and crazy city gang drama. You would like this show. #GoodMorning #coronavirus #StayHomeDC'",b'Karizma_Chanel',"['GoodMorning', 'coronavirus', 'StayHomeDC']",51
2020-03-26 13:07:19,"b""Please let us know if you've seen any suspicious messages circulating online about #coronavirus.  Also, do drop us a line if you'd like to subscribe to our #disinformation newsletter DMs are open.""",b'BBCMonitoring',"['coronavirus', 'disinformation']",64519
2020-03-26 13:07:19,b'#Pregnant #coronavirus #victim.  So sad. \xf0\x9f\x98\x96\xf0\x9f\x98\xadhttps://t.co/feBZsCTdHH',b'gidilemba',"['Pregnant', 'coronavirus', 'victim']",30
2020-03-26 13:07:19,"b""If you're 60+ and you're going to the supermarket for five items or less, maybe you've earned corona virus!  #coronavirusnl #coronavirus #WuhanVirus #COVIDIDIOTS""",b'Joshua_Kop',"['coronavirusnl', 'coronavirus', 'WuhanVirus', 'COVIDIDIOTS']",184
2020-03-26 13:07:19,b'@timberjeff53 @TiceRichard @BBCNewsnight @maitlis We are effectively in a #NoDeal #Brexit cos of #coronavirus !!!  Get it !!!',b'nigrugthug',"['NoDeal', 'Brexit', 'coronavirus']",2113
2020-03-26 13:07:18,b'@grahamdavie26 Russia has only 800 cases and 3 deaths. Because they did the logical thing and CLOSED THE BORDERS on January 31st  #Coronavirus in Russia: The Latest News | March 26 https://t.co/MtzuGfpERZ',b'TomWho4',['Coronavirus'],5552
2020-03-26 13:07:18,"b""@airtelindia @reliancejio @Idea @BSNLCorporate  #coronavirus  Please decrease the mobile pack prices as daily waged workers can't afford the present prices as there is no employment. please introduce new pack for only phone calls. So that many many can stay updated to parents""",b'NiharSimhadri',['coronavirus'],0
2020-03-26 13:07:17,b'To hopefully prevent or cure the #coronavirus  i use this daily! \xf0\x9f\x98\xb7\xf0\x9f\x91\x8d https://t.co/CFLFsaVGAC',b'Draco68_Michael',['coronavirus'],401
2020-03-26 13:07:17,b'@DrTedros meanwhile in the United Kingdom.  The govt has made #Covid_19 a non-reportable illness and put obstacles in place to prevent any real count of daily death toll.    The #coronavirus management is a cull of the old &amp; transmission seems still encouraged in population',b'wo17_world',"['Covid_19', 'coronavirus']",37
2020-03-26 13:07:16,b'Is retail therapy ethical during the #coronavirus crisis? from @jenniavins: https://t.co/wWBqwKR2mL #COVID19',b'RCalabroTully',"['coronavirus', 'COVID19']",1481
2020-03-26 13:07:15,b'Jobless claims soar past 3 million as coronavirus sends Americans to the unemployment line \xe2\x81\xa6@CNBC\xe2\x81\xa9 \xe2\x81\xa6@CDCgov\xe2\x81\xa9 \xe2\x81\xa6@VP\xe2\x81\xa9 #WhereAreTheTests #AmericansAreDying of #coronavirus #COVID19 #CoronavirusPandemic  https://t.co/bDcdaolN0v',b'runswscissors',"['WhereAreTheTests', 'AmericansAreDying', 'coronavirus', 'COVID19', 'CoronavirusPandemic']",80
2020-03-26 13:07:14,b'@pdazzleliscious @bluskies100 Can\xe2\x80\x99t blame that on the #Coronavirus',b'906Superior',['Coronavirus'],2550
2020-03-26 13:07:14,b'Self isolating can give you more freedom! #cartoon by #stokoecartoons #coronavirus #SelfIsolation #washing #awkward #lockdownUKnow https://t.co/EZI5KOYc1S',b'mikestokoe',"['cartoon', 'stokoecartoons', 'coronavirus', 'SelfIsolation', 'washing', 'awkward', 'lockdownUKnow']",2068
2020-03-26 13:07:14,b'I say we lock everyone down and have households order groceries on an app then assign the local police in every suburb to do a weekly grocery run for their suburb. Only police are allowed to be out. Everyone else in. #covid19australia #coronavirus',b'_SavinMe_',"['covid19australia', 'coronavirus']",50
2020-03-26 13:07:14,"b'We are all staying safely at home due to coronavirus, so why not use your time at home to learn about human rights?  Amnesty offers several useful courses to learn more about human rights. https://t.co/cWzkJcSvro   #humanrights #onlinelearning #coronavirus #COVID19 https://t.co/NZEhCf30UQ'",b'AIUK_CC_BMU',"['humanrights', 'onlinelearning', 'coronavirus', 'COVID19']",42
