tweet_created_at,tweet_id,tweet_text,tweet_source,tweet_favorite_count,tweet_coordinates,tweet_lang,tweet_place,tweet_retweet_count,tweet_retweeted,tweet_truncated,name,screen_name,location,user_id,statuses_count,followers_count,friends_count,favourites_count,description,retweet_created_at,retweet_id,retweet_text,retweet_source,retweet_favorite_count,retweet_coordinates,retweet_lang,retweet_place,retweet_retweet_count,retweet_retweeted,retweet_truncated
Wed Apr 08 22:18:37 +0000 2020,1248012399824625665,Android,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,,en,,0,False,False,A BABE,ttolaa_,,1907916319,32896,1714,1013,17704,Happy Child!,,,,,,,,,,,
Wed Apr 08 22:18:38 +0000 2020,1248012403565940739,"5Gはいつから？【ドコモ買い替え編】
ドコモの5Gは2020年3月25日頃から、使用可。

5G対応のAndroidが既に発表されていますが、3月25日に
発売されるのは2機種のみです。

それ以外は4月から6月にかけての発表なの… https://t.co/w90bnuOwSr","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0,,ja,,0,False,True,アルバ＠携帯安く,keitaiyasuku,宮城 青葉区,1048054469152239616,336,2501,4992,7257,"携帯代が安くなる超お得情報です。
電話番号はそのまま、スマホ本体は今のまま、ドコモの回線を使い、携帯代は半分以下。

毎月いくら払っていますか？
1万円以上なら、携帯代が3分の1になる情報があるけどいかがですか？",,,,,,,,,,,
Wed Apr 08 22:18:39 +0000 2020,1248012405763788801,"RT @Stray_Kids_JP: [V LIVE]
Stray Kids(ストレイキッズ) VIRTUAL LIGHT STICK

https://t.co/1y1tCuglFG
現在PC、 Android、iOS全て購入可能となっています。🙌","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,,ja,,0,False,False,;,stayyyu,—district9,2262206514,11791,465,409,369,fan account of Stray Kids.,Wed Apr 08 11:45:46 +0000 2020,1247853137370599425,"[V LIVE]
Stray Kids(ストレイキッズ) VIRTUAL LIGHT STICK

https://t.co/1y1tCuglFG
現在PC、 Android、iOS全て購入可能となっています。🙌","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",4710,,ja,,642,False,False
Wed Apr 08 22:18:41 +0000 2020,1248012416253702146,My camera is starting to record like an android lol I need that new iPhone,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,,en,,0,False,False,Tina,trawwr__,"Massachusetts, USA",232979444,54508,832,755,15086,Unfailing faith 🇭🇹,,,,,,,,,,,
Wed Apr 08 22:18:41 +0000 2020,1248012416194998272,"Androidユーザーの方は
以下URLです。

私は実際試してないので、
機種によって違うとは思いますが
キーワードを押さえつつ
試してみてください。

https://t.co/v457xBNgDA","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,,ja,,0,False,False,田渕浩之＠たぶちん（人間力）,mindsetnocoach,人間力を高める生活習慣,1155077980869165056,3836,2254,2076,17621,"周りを応援したいと思いつつ
ある今日この頃

株式会社YAIZOOにタレント所属

●発信内容
・マインド
・Live812

頑張っている人を応援したいけど、
自分も影響力ないと効果薄いから
頑張る笑

普段は真面目
いじられると発展する
意外と得意なこと多い
漢字ムズイ

※マイペースで対応すると思います",,,,,,,,,,,
Wed Apr 08 22:18:42 +0000 2020,1248012418338316288,RT @comopure: 【受注生産】『月ネコと地球ネコ：ver.01』宇宙/太陽/手帳型/スマホケース/iPhone/Android/Xperia/Galaxy/AQUOS/ARROWS/多機種対応 #minne https://t.co/vusYe8k2Fx,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,,ja,,0,False,False,Anafiel【アナフィエル】天然石アクセサリーのお店,88anaff88,日本,1199496600873140225,22492,1716,2619,59763,"天然石を使ったアクセサリーを製作販売✨あなたのご予算ご要望に合わせてお作りします✨お気軽にご連絡下さいねミンネhttp://minne.com/@otyaneko　いいねやRTありがとうございます😭✨💕
今のあなたに合う天然石をお伝えもできます✨ botは @kurista8 煌めくクリスタル占い",Wed Apr 08 08:32:38 +0000 2020,1247804535218655233,【受注生産】『月ネコと地球ネコ：ver.01』宇宙/太陽/手帳型/スマホケース/iPhone/Android/Xperia/Galaxy/AQUOS/ARROWS/多機種対応 #minne https://t.co/vusYe8k2Fx,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>",37,,ja,,20,False,False
Wed Apr 08 22:18:48 +0000 2020,1248012445370572801,"RT @Cartoon_MOMS: Bulma Briefs, Android 18 and Chichi by Limgae https://t.co/OQrvv3NfV7","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,,en,,0,False,False,David B Zuno,DZDoom23,"Chicago, IL",3273384667,90557,388,535,136022,I'm a 28 year old Mexican. Someday I hope to be successful in life. I'm known to be a quiet person throughout my whole life but I'm an okay guy,Sun Apr 05 12:53:56 +0000 2020,1246783129202778114,"Bulma Briefs, Android 18 and Chichi by Limgae https://t.co/OQrvv3NfV7","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",640,,en,,78,False,False
Wed Apr 08 22:18:49 +0000 2020,1248012450093363202,RT @timz_owen: Happiest birthday to this amazing Tech Ninja. We've been to many @googledevs #GDGs events giving #Android and #Tensorflow ta…,"<a href=""https://digitalinspiration.com"" rel=""nofollow"">AI News BOT</a>",0,,en,,0,False,False,Shy BOT,ShyBOT7,,1134668128489656320,37155,194,0,1,Gathering #AI & #TensorFlow related tweets. I belong to @rebeccapark,Wed Apr 08 22:12:57 +0000 2020,1248010973119565824,Happiest birthday to this amazing Tech Ninja. We've been to many @googledevs #GDGs events giving #Android and… https://t.co/SrKvUU93sM,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2,,en,,2,False,True
Wed Apr 08 22:18:50 +0000 2020,1248012454447050753,#android | #mobilesecurity | Samsung Galaxy A20e and Galaxy A10 also make the jump to Android 10… https://t.co/AIltCXPyg2,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",0,,en,,0,False,True,NCSbyNCSV,NCSbyHTCS,"Atlanta, GA",109082290,69219,4271,161,7,"We are a leader in #news for #cybersecurity #hacker , #hacking, #techjobs, #NationalCyberSecurity   Download our #app ""National Cyber Security 5.0""",,,,,,,,,,,
Wed Apr 08 22:18:51 +0000 2020,1248012459157254146,#android | #mobilesecurity | Samsung Galaxy A20e and Galaxy A10 also make the jump to Android 10… https://t.co/2R3rBTRsSM,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",0,,en,,0,False,True,National Cyber Security News Today,NCSNewsToday,United States,1242605163308867589,8015,11,89,5,"NCSNewsToday is the largest sources of #cybersecurity #news in the world.

#hacker #pentesting #comptia #infosec #itsecurity #mobilesecurity #computersecurity",,,,,,,,,,,
