tweet_created_at,tweet_id,tweet_text,tweet_source,tweet_favorite_count,tweet_coordinates,tweet_lang,tweet_place,tweet_retweet_count,tweet_retweeted,tweet_truncated,name,screen_name,location,user_id,statuses_count,followers_count,friends_count,favourites_count,description,retweet_created_at,retweet_id,retweet_text,retweet_source,retweet_favorite_count,retweet_coordinates,retweet_lang,retweet_place,retweet_retweet_count,retweet_retweeted,retweet_truncated
Wed Apr 08 23:41:22 +0000 2020,1248033221847195648,RT @b0ingdemango: pinches emojis culeros que tiene android,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,,es,,0,False,False,Danna PaOla,DannaFlo1804,"Monterrey, Nuevo León",748636130803781632,16150,513,192,14721,,Wed Apr 08 23:37:30 +0000 2020,1248032248592547841,pinches emojis culeros que tiene android,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",11,,es,,1,False,False
Wed Apr 08 23:41:23 +0000 2020,1248033227513589760,RT @b0ingdemango: pinches emojis culeros que tiene android,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,,es,,0,False,False,shooting star,lesley_anetthe,,4899603734,7293,47,119,12900,hold your breath it get's better,Wed Apr 08 23:37:30 +0000 2020,1248032248592547841,pinches emojis culeros que tiene android,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",11,,es,,2,False,False
Wed Apr 08 23:41:24 +0000 2020,1248033232559296512,"RT @nunnajmeen: POSLAJU DAH TAK HANTAR PARCELS TO THESE RED ZONES

sorry quality gambar Android.

please RT to let others know @adibahnoor…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,,en,,0,False,False,ayu,UmmiRasid,SAC,567375810,114767,669,385,16480,,Wed Apr 08 09:06:19 +0000 2020,1247813009797308417,"POSLAJU DAH TAK HANTAR PARCELS TO THESE RED ZONES

sorry quality gambar Android.

please RT to let others know… https://t.co/u4FSXJC0x1","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",3218,,en,,5860,False,True
Wed Apr 08 23:41:28 +0000 2020,1248033247071571968,憧れのあの人と対面。サインは誰にも譲らない。【誰ソ彼ホテル】  [Android]https://t.co/VZ4GLYa9Am  [iOS]https://t.co/u3kxaN8OMp https://t.co/lXnqQaXsuo,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,,ja,,0,False,False,みなすは推し誕絵を描け,Mina_373Y,山本武が好き！！！！！！！！！！！！！！！,1006901496175210497,38962,87,118,19405,▲成人済⚠︎腐⚠︎雑多垢▶︎JOJO▷復活▷魔入間▷dcst▷ amore mio : @gara_taro ▶︎ツイプロ: https://twpf.jp/Mina_373Y ▶︎ポイピク: https://poipiku.com/238167/,,,,,,,,,,,
Wed Apr 08 23:41:29 +0000 2020,1248033252864032768,@WandelTejeda @RPlusNotifier It's not late it's an update maybe if your android had better phone quality so you cou… https://t.co/Bso5NXW0EE,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,,en,,0,False,True,CloudyRain,cloudy__rain_,Yo mamas house,1233559047720361986,55,2,32,295,Hi,,,,,,,,,,,
Wed Apr 08 23:41:30 +0000 2020,1248033255107866625,"RT @glorifyuu: –how to make digital notes using 2 apps on phone (ios/android).

a thread by glorifyuu. https://t.co/gRTFAgUGUk","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,,en,,0,False,False,deliyy⁷,puppiesMin,bandung,1178138720911757313,2582,1033,1146,6975,🦋 BTS TXT SVT X1 NCT,Wed Apr 08 11:02:59 +0000 2020,1247842371854684160,"–how to make digital notes using 2 apps on phone (ios/android).

a thread by glorifyuu. https://t.co/gRTFAgUGUk","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",3608,,en,,900,False,False
Wed Apr 08 23:41:32 +0000 2020,1248033264792530944,"RT @mikuta0407: Wikipediaに、
「WSLは、Windows 10 Mobile上でいくつかのAndroid用アプリを実行できるようにするためのプロジェクトだがリリースされることはなかった、Project Astoriaを発祥とする。」
って書いてあって、…","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,,ja,,0,False,False,sumisujima,sumisu_jima,#StayAtHome,1121376876507701250,44777,129,206,47134,"アニメやテレビを実況（キャプチャ）してます、煩いかも
ほぼRTとひとりごとです、フォロバは基本しません
（たまにTwitterのタグ外れてるのはシャドウバン対策です、お気になさらず）",Tue Apr 07 15:55:14 +0000 2020,1247553530182787074,"Wikipediaに、
「WSLは、Windows 10 Mobile上でいくつかのAndroid用アプリを実行できるようにするためのプロジェクトだがリリースされることはなかった、Project Astoriaを発祥とする。」
っ… https://t.co/ShjhFmhwXK","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",6,,ja,,5,False,True
Wed Apr 08 23:41:33 +0000 2020,1248033270081687555,@Eu_Leonnardo Moh? O Twitter for Android,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,,en,,0,False,False,🌥,rihxv,Los Angeles ,1234591829456228354,9302,951,928,10869,,,,,,,,,,,,
Wed Apr 08 23:41:33 +0000 2020,1248033271029497856,@Donadeedooda She is an Android.,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,,en,,0,False,False,Hans Giesholt,DWDrummer13,"Arizona, USA",22226278,74140,2218,4028,46763,Drummer,,,,,,,,,,,
Wed Apr 08 23:41:37 +0000 2020,1248033285067792384,モイ！Androidからキャス配信中 - https://t.co/Xj5DCsixFZ,"<a href=""http://twitcasting.tv/"" rel=""nofollow"">TwitCasting</a>",0,,ja,,0,False,False,mayuwish-2011,Mayuwish2,,1186593105950044162,145,15,23,250,音楽とか車好きです。よろしくお願いします。,,,,,,,,,,,
