post_id,text,post_text,shared_text,time,image,likes,comments,shares,post_url,link
10158996551247573,"No será necesaria la clave única 😷😷👌
PUBLIMETRO.CL
A partir de las 18:00 horas se podrán solicitar permisos en comunas de la RM con cuarentena",No será necesaria la clave única 😷😷👌,"PUBLIMETRO.CL
A partir de las 18:00 horas se podrán solicitar permisos en comunas de la RM con cuarentena",2020-03-26 13:10:00,https://external.fscl6-1.fna.fbcdn.net/safe_image.php?d=AQDrW-CLI8QRIuBx&w=476&h=249&url=https%3A%2F%2Fmedia.metrolatam.com%2F2020%2F03%2F26%2Fauno1170398-18542e9ee9e9867d481804399b0d9330-1200x800.jpg&cfs=1&jq=75&ext=jpg&_nc_hash=AQDICOMRaUpdZin3,1,0,0,https://m.facebook.com/story.php?story_fbid=10158996551247573&id=189079512572,https://www.publimetro.cl/cl/social/2020/03/26/coronavirus-cuarentena-region-metropolitana-comunmas-permisos.html
10158996398372573,¡¡GENIAL!! 😂😂👏👏👏👏,¡¡GENIAL!! 😂😂👏👏👏👏,,2020-03-26 13:00:00,,43,14,0,https://m.facebook.com/story.php?story_fbid=10158996398372573&id=189079512572,
10158996465057573,"NO LO SÉ, RICK... ME PARECE FALSO 🤔🤔
¿Qué opinan ustedes?
PUBLIMETRO.CL
Presidente de Boca y opción de traer a Cavani: ""Es muy buen jugador, pero nosotros tenemos a Tevez""","NO LO SÉ, RICK... ME PARECE FALSO 🤔🤔
¿Qué opinan ustedes?","PUBLIMETRO.CL
Presidente de Boca y opción de traer a Cavani: ""Es muy buen jugador, pero nosotros tenemos a Tevez""",2020-03-26 12:50:00,https://external.fscl6-1.fna.fbcdn.net/safe_image.php?d=AQA6-unXiuAD4g5k&w=476&h=249&url=https%3A%2F%2Fmedia.metrolatam.com%2F2020%2F03%2F26%2Fap19275090594690-fe539172ea6372fc67e3c6e12a8df5a2-1200x800.jpg&cfs=1&jq=75&sx=0&sy=115&sw=1200&sh=628&ext=jpg&_nc_hash=AQDLu46LLKdor1_U,1,0,0,https://m.facebook.com/story.php?story_fbid=10158996465057573&id=189079512572,https://www.publimetro.cl/cl/grafico-chile/2020/03/26/presidente-boca-juniors-cavani-tevez.html
10158996585147573,"¡OJO! Se les rebajó más de $90 mil a los apoderados 😱👇
PUBLIMETRO.CL
¿Y los demás?: The Grange School rebaja colegiatura tras suspensión de clases por coronavirus",¡OJO! Se les rebajó más de $90 mil a los apoderados 😱👇,"PUBLIMETRO.CL
¿Y los demás?: The Grange School rebaja colegiatura tras suspensión de clases por coronavirus",2020-03-26 12:37:46,https://external.fscl6-1.fna.fbcdn.net/safe_image.php?d=AQCltH6lfDVIyT0M&w=476&h=249&url=https%3A%2F%2Fmedia.metrolatam.com%2F2018%2F10%2F02%2Fsalondeclases-5e34dfd8e654505a9e4157d6c1ebcdb1-1200x800.jpg&cfs=1&jq=75&ext=jpg&_nc_hash=AQA4--hv7bLTQb94,6,2,3,https://m.facebook.com/story.php?story_fbid=10158996585147573&id=189079512572,https://www.publimetro.cl/cl/noticias/2020/03/26/the-grange-school-rebaja-colegiatura-por-coronavirus.html
10158996139852573,"🗞📰La falta de fiebre podría explicarse porque jóvenes presentan cuadros leves, o porque los exámenes se aplicarían antes de ese punto. Los detalles 👉https://bit.ly/2yc0Ft5","🗞📰La falta de fiebre podría explicarse porque jóvenes presentan cuadros leves, o porque los exámenes se aplicarían antes de ese punto. Los detalles 👉https://bit.ly/2yc0Ft5",,2020-03-26 12:30:00,https://scontent.fscl6-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/91011432_10158996101747573_8602944103774158848_o.jpg?_nc_cat=108&_nc_sid=8024bb&_nc_ohc=A12LDQfwZrYAX_qd-Wa&_nc_ht=scontent.fscl6-1.fna&_nc_tp=14&oh=34e249150599b4b3293841c7c087a566&oe=5EA1D0EA,6,2,0,https://m.facebook.com/story.php?story_fbid=10158996139852573&id=189079512572,https://bit.ly/2yc0Ft5
10158996396447573,"El célebre personaje respondió con un meme 😮😮😷😷
PUBLIMETRO.CL
""Soy una autoridad indefensa"": así Contralorito respondió a alcaldes por polémica sobre matinales",El célebre personaje respondió con un meme 😮😮😷😷,"PUBLIMETRO.CL
""Soy una autoridad indefensa"": así Contralorito respondió a alcaldes por polémica sobre matinales",2020-03-26 12:20:06,https://external.fscl6-1.fna.fbcdn.net/safe_image.php?d=AQBtvzuIR0uG5bSt&w=476&h=249&url=https%3A%2F%2Fmedia.metrolatam.com%2F2020%2F03%2F26%2Fmemeconytralorit-40ee6d4aa2b50070c4b59dca6563e369-1200x800.jpg&cfs=1&jq=75&ext=jpg&_nc_hash=AQDce05uFB7B7gcR,5,1,0,https://m.facebook.com/story.php?story_fbid=10158996396447573&id=189079512572,https://www.publimetro.cl/cl/social/2020/03/26/alcaldes-polemica-matinales-contraloria-epica-respuesta-contralorito.html
10158996360337573,"Pero cómo 😮🤦‍♀️🤦‍♂️
PUBLIMETRO.CL
EEUU: tienda debió botar $30 millones en productos luego que mujer tosiera a propósito sobre ellos",Pero cómo 😮🤦‍♀️🤦‍♂️,"PUBLIMETRO.CL
EEUU: tienda debió botar $30 millones en productos luego que mujer tosiera a propósito sobre ellos",2020-03-26 12:10:46,https://external.fscl6-1.fna.fbcdn.net/safe_image.php?d=AQDnmJQ09t89w0WL&w=476&h=249&url=https%3A%2F%2Fmedia.metrolatam.com%2F2020%2F03%2F26%2F9100746830094680-32503273125326e23d1956ec2f7ef358-1200x800.jpg&cfs=1&jq=75&ext=jpg&_nc_hash=AQCCH5BMqZdZqljy,6,1,7,https://m.facebook.com/story.php?story_fbid=10158996360337573&id=189079512572,https://www.publimetro.cl/cl/social/2020/03/26/coronavirus-covid-pennsylvania-hanover-gerrity-supermarket-estados-unidos.html
10158996341037573,Qué hermoso 👏👏👏,Qué hermoso 👏👏👏,,2020-03-26 12:00:01,,213,24,0,https://m.facebook.com/story.php?story_fbid=10158996341037573&id=189079512572,
10158996306752573,"⌚🕰 Revisa la fecha en que se deberá atrasar el reloj 👇👇
PUBLIMETRO.CL
Cambio de horario en Chile: podrá quedarse una hora más en su casa",⌚🕰 Revisa la fecha en que se deberá atrasar el reloj 👇👇,"PUBLIMETRO.CL
Cambio de horario en Chile: podrá quedarse una hora más en su casa",2020-03-26 11:50:00,https://external.fscl6-1.fna.fbcdn.net/safe_image.php?d=AQDek8tzVNMXXhBg&w=476&h=249&url=https%3A%2F%2Fmedia.metrolatam.com%2F2019%2F08%2F11%2Fhora-7a70ea88455f02a36bd1240e751804e8-1200x800.jpg&cfs=1&jq=75&ext=jpg&_nc_hash=AQBY5dzpoyHJWMEx,6,2,3,https://m.facebook.com/story.php?story_fbid=10158996306752573&id=189079512572,https://www.publimetro.cl/cl/social/2020/03/26/cambio-horario-podra-quedarse-una-hora-mas-casa.html
10158996285967573,"¡¡NOOOO!! 😱😱😱🐊🐊
PUBLIMETRO.CL
Hombre muere tras ser devorado por cocodrilo al infringir cuarentena por coronavirus",¡¡NOOOO!! 😱😱😱🐊🐊,"PUBLIMETRO.CL
Hombre muere tras ser devorado por cocodrilo al infringir cuarentena por coronavirus",2020-03-26 11:40:56,https://external.fscl6-1.fna.fbcdn.net/safe_image.php?d=AQBbhDoVzqmVRaIM&w=476&h=249&url=https%3A%2F%2Fmedia.metrolatam.com%2F2019%2F03%2F11%2Fgettyimages56714641594x594-d3572e688ccf996f6156116e60503c37-1200x800.jpg&cfs=1&jq=75&ext=jpg&_nc_hash=AQB--Oll0MGTBZ8y,8,1,4,https://m.facebook.com/story.php?story_fbid=10158996285967573&id=189079512572,https://www.publimetro.cl/cl/social/2020/03/26/hombre-muere-tras-devorado-cocodrilo-al-infringir-cuarentena-coronavirus.html
